Wall time,Step,Value
1701879137.2857249,299,5.71514892578125
1701879143.484276,949,5.715067386627197
1701879146.5112162,1249,5.7152557373046875
1701879155.4459977,1999,5.7154412269592285
1701879156.4024968,2099,5.71547269821167
1701879157.9570022,2249,5.715390205383301
1701879161.766195,2649,5.715480804443359
1701879163.2954183,2799,5.715151309967041
1701879170.5051985,3549,5.71423864364624
1701879172.0176904,3699,5.713954925537109
1701879182.9337423,4649,5.711876392364502
1701879186.7937815,5049,5.7107768058776855
1701879188.3070626,5199,5.710247039794922
1701879188.7773166,5249,5.709982395172119
1701879199.699171,6199,5.7030487060546875
1701879205.9723434,6849,5.692879676818848
1701879211.3152559,7399,5.686018466949463
1701879213.7485304,7649,5.678783893585205
1701879215.1425633,7799,5.6783528327941895
1701879220.7144306,8199,5.669090270996094
1701879226.1115062,8749,5.655589580535889
1701879228.5521927,8999,5.64919900894165
1701879229.4714334,9099,5.6471147537231445
1701879230.0713863,9149,5.646437644958496
1701879231.8946657,9349,5.638721466064453
1701879235.8873904,9749,5.6221160888671875
1701879240.9570835,10099,5.609335422515869
1701879241.4640949,10149,5.608551979064941
1701879243.9002857,10399,5.600011348724365
1701879249.148219,10949,5.589856147766113
1701879252.0842714,11249,5.5861005783081055
1701879254.447068,11499,5.582539081573486
1701879262.9050949,12199,5.572016716003418
1701879265.946627,12499,5.567967891693115
1701879268.2723954,12749,5.560850620269775
1701879271.7661343,13099,5.560147285461426
1701879273.58309,13299,5.558892726898193
1701879274.6725814,13399,5.561733722686768
1701879285.0043433,14299,5.551517009735107
1701879287.4468377,14549,5.531100273132324
1701879290.3356926,14849,5.525137424468994
1701879292.7519865,15099,5.535750865936279
1701879293.811202,15199,5.528604030609131
1701879297.6416793,15599,5.514090061187744
1701879298.0913026,15649,5.5155029296875
1701879304.5780687,16149,5.51098108291626
1701879308.9949014,16599,5.510026454925537
1701879312.7865787,16999,5.5046868324279785
1701879320.5744119,17799,5.484945774078369
1701879322.5589998,17999,5.4817118644714355
1701879329.6592612,18449,5.478243827819824
1701879352.1975322,20599,5.445695877075195
1701879352.6888585,20649,5.436988830566406
1701879360.909701,21499,5.426210880279541
1701879361.802188,21599,5.440335273742676
1701879362.2588618,21649,5.428142070770264
1701879363.7462893,21799,5.411695957183838
1701879367.8812854,22049,5.382790565490723
1701879372.2765658,22499,5.401419639587402
1701879373.6184053,22649,5.398128509521484
1701879374.083558,22699,5.393759727478027
1701879378.9700487,23199,5.389060974121094
1701879388.41902,23999,5.350727558135986
1701879389.3834956,24099,5.357517242431641
1701879398.4967637,25049,5.327776908874512
1701879399.559275,25149,5.314894199371338
1701879400.9271152,25299,5.325288772583008
1701879404.7367632,25699,5.304147720336914
1701879407.7450526,25999,5.3121185302734375
1701879409.847071,26049,5.2992448806762695
1701879411.3724673,26199,5.300165176391602
1701879414.2280352,26499,5.313709735870361
1701879416.6898115,26749,5.3183488845825195
1701879421.395657,27249,5.314550399780273
1701879424.3525393,27549,5.313232421875
1701879427.3310359,27849,5.263826370239258
1701879430.409131,27999,5.259631633758545
1701879433.3072631,28299,5.284241199493408
1701879434.213399,28399,5.267717361450195
1701879435.7594626,28549,5.246742248535156
1701879436.6714573,28649,5.266345024108887
1701879437.134975,28699,5.279628276824951
1701879439.557015,28949,5.278858184814453
1701879440.014828,28999,5.277468681335449
1701879444.378909,29449,5.24445104598999
1701879451.7714894,30049,5.250493049621582
1701879454.1831582,30299,5.2530694007873535
1701879455.271396,30399,5.251296043395996
1701879461.1372278,30999,5.249788761138916
1701879464.4459956,31349,5.247616767883301
1701879464.9161074,31399,5.251729965209961
1701879465.9212897,31499,5.264145851135254
1701879467.368172,31649,5.2690277099609375
1701879468.2792802,31749,5.251929759979248
1701879475.3412967,32299,5.234269142150879
1701879476.7180743,32449,5.248229503631592
1701879478.6883469,32649,5.253433704376221
1701879480.2129698,32799,5.257295608520508
1701879481.5710855,32949,5.282416343688965
1701879483.5269423,33149,5.265007495880127
1701879483.9844408,33199,5.25423526763916
1701879485.9941373,33399,5.274603843688965
1701879488.4233634,33649,5.266718864440918
1701879502.165836,34899,5.2808451652526855
1701879503.9696476,35099,5.27315616607666
1701879505.9730847,35299,5.265939712524414
1701879506.4375398,35349,5.26868200302124
1701879509.7712953,35699,5.290478229522705
1701879515.31451,36099,5.311868667602539
1701879517.3136976,36299,5.319812297821045
1701879519.2735584,36499,5.3133320808410645
1701879521.6973443,36749,5.317403793334961
1701879523.5031395,36949,5.321498394012451
1701879527.9739022,37399,5.312494277954102
1701879529.9456758,37599,5.316103458404541
1701879530.40338,37649,5.3362226486206055
1701879530.8546603,37699,5.307861328125
1701879531.7644806,37799,5.3079752922058105
1701879532.2241411,37849,5.332370758056641
1701879536.425482,38099,5.346415042877197
1701879538.845726,38349,5.35795259475708
1701879539.745439,38449,5.3591132164001465
1701879542.192092,38699,5.360875129699707
1701879542.6395855,38749,5.360689163208008
1701879543.0950184,38799,5.363245487213135
1701879545.0735946,38999,5.333684921264648
1701879547.0745492,39199,5.357156276702881
1701879549.4880538,39449,5.339653968811035
1701879549.9496226,39499,5.320970058441162
1701879550.41316,39549,5.30812931060791
1701879562.6456797,40649,5.346327781677246
1701879564.5989828,40849,5.360565662384033
1701879565.5297484,40949,5.361184120178223
1701879567.9750302,41199,5.3741912841796875
1701879581.7587898,42449,5.368542194366455
1701879584.1719322,42699,5.357120037078857
1701879585.0951943,42799,5.381473541259766
1701879588.160186,43099,5.389626979827881
1701879591.9540272,43499,5.372791767120361
1701879594.8178113,43799,5.401619911193848
1701879596.8413837,43999,5.403479099273682
1701879601.336484,44299,5.401072025299072
1701879602.396154,44399,5.395073890686035
1701879605.2661388,44699,5.407473564147949
1701879606.1991875,44799,5.4373016357421875
1701879612.9609776,45499,5.426855087280273
1701879613.4690344,45549,5.429323673248291
1701879614.8182971,45699,5.424192428588867
1701879619.4563365,45999,5.4101786613464355
1701879620.860266,46149,5.410781383514404
1701879625.2638934,46599,5.418680667877197
1701879627.2611158,46799,5.423515319824219
1701879628.6180725,46949,5.4071879386901855
1701879629.074543,46999,5.4374589920043945
1701879633.4587507,47449,5.4254841804504395
1701879633.8983161,47499,5.413853168487549
1701879635.883063,47699,5.405611515045166
1701879636.810348,47799,5.41886568069458
1701879637.2739935,47849,5.415496349334717
1701879641.0641649,48049,5.419467926025391
1701879646.8839955,48649,5.420781135559082
1701879648.7062044,48849,5.426604747772217
1701879649.7623396,48949,5.424735069274902
1701879651.1385558,49099,5.421691417694092
1701879655.530278,49549,5.422000885009766
1701879656.9130201,49699,5.412720203399658
1701879662.0583718,50049,5.417425632476807
1701879667.857524,50649,5.420307636260986
1701879671.2945457,50999,5.402139186859131
1701879677.5820887,51649,5.397359371185303
1701879680.45512,51949,5.415853500366211
1701879683.1052656,52049,5.411047458648682
1701879684.0069387,52149,5.418078899383545
1701879685.9910994,52349,5.409146308898926
1701879687.9369695,52549,5.44104528427124
